incident_i,engine_area_c,exposure_c,incident_type_c,property_use_c,detector_c,structure_stat_c,cinjury_c,cfatal_c,finjury_c,ffatal_c,call_month_c,call_day_c,call_hour_c,dispatch_n,arrival_n,clear_n
1,60,0,600,6,0,0,0,0,0,0,1,1,0,133,537,700
2,60,0,444,1,0,0,0,0,0,0,1,1,0,150,402,601
3,29,0,600,7,0,0,0,0,0,0,1,1,0,98,304,1502
4,57,0,111,1,0,1,0,0,0,0,1,1,0,86,424,2075
5,50,0,150,6,0,0,0,0,0,0,1,1,1,262,463,792
6,57,0,700,1,0,0,0,0,0,0,1,1,1,257,517,632
7,35,0,444,6,0,0,0,0,0,0,1,1,1,71,405,476
8,52,0,743,1,0,0,0,0,0,0,1,1,1,148,538,877
9,33,0,600,6,0,0,0,0,0,0,1,1,2,40,343,1098
10,40,0,600,8,0,0,0,0,0,0,1,1,2,70,504,512
11,57,0,111,1,0,3,0,0,0,0,1,1,2,18,232,4548
12,57,0,130,6,0,0,0,0,0,0,1,1,2,128,666,4327
13,57,0,111,9,0,0,0,0,0,0,1,1,2,139,639,1054
14,57,0,111,1,0,4,0,0,0,0,1,1,3,104,393,5802
15,42,0,700,7,0,0,0,0,0,0,1,1,3,84,521,679
16,17,0,651,0,0,0,0,0,0,0,1,1,4,157,592,1473
17,58,0,111,1,0,2,0,0,0,0,1,1,4,79,370,4957
18,9,0,730,12,0,0,0,0,0,0,1,1,5,19,246,703
19,57,0,111,1,0,4,0,0,0,0,1,1,5,70,530,1635
20,17,0,745,0,0,0,0,0,0,0,1,1,5,110,479,914
21,58,0,111,1,0,2,0,0,0,0,1,1,6,210,549,2158
22,44,0,111,1,0,4,0,0,0,0,1,1,6,111,378,5945
23,58,0,111,1,0,4,0,0,0,0,1,1,8,118,404,2118
24,17,0,700,0,0,0,0,0,0,0,1,1,8,136,490,536
25,59,0,600,1,0,0,0,0,0,0,1,1,9,97,481,863
26,1,0,745,0,0,0,0,0,0,0,1,1,10,63,262,1674
27,53,0,600,1,0,0,0,0,0,0,1,1,10,23,77,96
28,53,0,600,1,0,0,0,0,0,0,1,1,10,5,396,429
29,42,0,745,1,0,0,0,0,0,0,1,1,10,121,523,926
30,1,0,700,2,0,0,0,0,0,0,1,1,10,115,404,643
31,51,0,600,3,0,0,0,0,0,0,1,1,11,74,371,374
32,53,0,440,4,0,0,0,0,0,0,1,1,11,228,523,1805
33,33,0,111,0,0,2,0,0,0,0,1,1,11,110,425,8597
34,51,0,743,1,0,0,0,0,0,0,1,1,11,97,527,627
35,17,0,650,5,0,0,0,0,0,0,1,1,11,151,550,794
36,59,0,600,1,0,0,0,0,0,0,1,1,12,108,0,216
37,52,0,551,1,0,0,0,0,0,0,1,1,13,579,786,908
38,51,0,745,1,0,0,0,0,0,0,1,1,13,110,548,1147
39,1,0,700,0,0,0,0,0,0,0,1,1,13,131,350,440
40,33,0,745,0,0,0,0,0,0,0,1,1,14,62,294,351
41,42,0,700,1,0,0,0,0,0,0,1,1,15,100,514,579
42,58,0,745,1,0,0,0,0,0,0,1,1,15,74,350,457
43,60,0,651,1,0,0,0,0,0,0,1,1,15,185,531,2929
44,27,0,700,6,0,0,0,0,0,0,1,1,16,166,390,595
45,59,0,745,1,0,0,0,0,0,0,1,1,16,110,311,372
46,41,0,600,6,0,0,0,0,0,0,1,1,16,724,925,1090
47,59,0,745,1,0,0,0,0,0,0,1,1,16,593,982,1244
48,34,0,111,10,0,4,0,0,1,0,1,1,16,77,312,20000
49,27,0,745,9,0,0,0,0,0,0,1,1,16,65,521,523
50,59,0,700,11,0,0,0,0,0,0,1,1,16,12,316,380
51,55,0,651,1,0,0,0,0,0,0,1,1,17,91,410,1066
52,56,0,600,13,0,0,0,0,0,0,1,1,17,194,632,1232
53,35,0,411,14,0,0,0,0,0,0,1,1,17,150,652,2875
54,39,0,745,0,0,0,0,0,0,0,1,1,17,196,1018,1062
55,51,0,445,1,0,0,0,0,0,0,1,1,18,111,414,1341
56,56,0,111,1,0,1,0,0,0,0,1,1,18,70,331,4753
57,54,0,745,0,0,0,0,0,0,0,1,1,18,125,445,788
58,52,0,700,7,0,0,0,0,0,0,1,1,18,146,197,486
59,52,0,111,15,0,4,0,0,0,0,1,1,19,98,397,1054
60,34,0,143,8,0,0,0,0,0,0,1,1,19,122,665,1114
61,59,0,600,1,0,0,0,0,0,0,1,1,20,395,950,1174
62,42,0,700,1,0,0,0,0,0,0,1,1,20,100,417,861
63,30,0,111,1,0,1,0,0,0,0,1,1,20,250,574,3068
64,57,0,442,0,0,0,0,0,0,0,1,1,21,270,639,1608
65,33,0,111,0,0,4,0,0,0,0,1,1,21,158,494,1495
66,50,0,710,1,0,0,0,0,0,0,1,1,21,53,289,359
67,40,0,651,1,0,0,0,0,0,0,1,1,22,153,436,684
68,27,0,111,1,0,1,1,0,0,0,1,1,22,65,327,3884
69,59,0,700,0,0,0,0,0,0,0,1,1,22,113,415,627
70,34,0,420,10,0,0,0,0,0,0,1,2,0,126,500,3491
71,59,0,143,1,0,0,0,0,0,0,1,2,0,128,446,1093
72,27,0,600,1,0,0,0,0,0,0,1,2,3,381,869,1579
73,32,0,700,6,0,0,0,0,0,0,1,2,3,195,639,722
74,51,0,745,1,0,0,0,0,0,0,1,2,3,153,693,837
75,35,0,130,8,0,0,0,0,0,0,1,2,4,103,435,1434
76,51,0,522,1,0,0,0,0,0,0,1,2,4,232,635,1392
77,52,0,130,6,0,0,0,0,0,0,1,2,4,196,581,2802
78,34,0,130,6,0,0,0,0,0,0,1,2,4,282,730,1879
79,60,0,710,7,0,0,0,0,0,0,1,2,4,89,383,440
80,41,0,700,6,0,0,0,0,0,0,1,2,5,154,387,474
81,30,0,143,21,0,0,0,0,0,0,1,2,5,126,171,477
82,34,0,420,10,0,0,0,0,0,0,1,2,5,183,513,1504
83,32,0,160,1,0,1,0,0,0,0,1,2,6,271,596,1158
84,51,0,111,1,0,1,0,0,0,0,1,2,6,85,372,5802
85,52,0,111,16,0,4,0,0,0,0,1,2,6,103,356,1245
86,17,0,745,23,0,0,0,0,0,0,1,2,7,76,276,281
87,55,0,111,1,0,1,0,0,0,0,1,2,8,84,350,2373
88,34,0,111,10,0,4,0,0,0,0,1,2,9,106,471,2507
89,34,0,652,12,2,0,0,0,0,0,1,2,9,38,359,915
90,9,0,130,6,0,0,0,0,0,0,1,2,11,109,643,2165
91,59,0,600,1,0,0,0,0,0,0,1,2,12,100,403,539
92,41,0,561,1,0,0,0,0,0,0,1,2,12,103,368,1221
93,39,0,745,19,0,0,0,0,0,0,1,2,12,93,357,1128
94,34,0,111,5,0,4,0,0,0,0,1,2,12,21,326,5326
95,42,0,111,1,0,1,0,0,0,0,1,2,13,57,300,3279
96,55,0,700,20,0,0,0,0,0,0,1,2,15,97,385,559
97,30,0,150,7,0,0,0,0,0,0,1,2,15,162,461,1015
98,35,0,600,0,0,0,0,0,0,0,1,2,15,29,219,230
99,30,0,412,1,0,0,0,0,0,0,1,2,15,119,527,928
100,35,0,600,1,0,0,0,0,0,0,1,2,15,9,252,763
101,59,0,745,0,0,0,0,0,0,0,1,2,16,137,338,514
